technology,n,stability_mean_pairwise_jaccard,stability_mean_pairwise_jaccard_ci_lo,stability_mean_pairwise_jaccard_ci_hi,final_set_size_mean,final_set_size_median,judge_plausible_rate,judge_not_plausible_rate,judge_n,silver_recall_proxy,silver_ref_size,convergence_mean,runtime_seconds_mean
Hydroponic Systems,3,0.34017662789064307,0.2514667123237819,0.4363228566525504,67.9,51.0,0.6382978723404256,0.36170212765957444,47,0.2972972972972973,37,,
Hydroponic Systems,4,0.3379907430181521,0.25340879046189185,0.42424715719744616,60.7,10.5,0.4166666666666667,0.5833333333333333,48,0.32432432432432434,37,,
Hydroponic Systems,5,0.3004306899960435,0.2170646711753158,0.3800584648489476,84.0,67.0,0.4473684210526316,0.5526315789473684,38,0.2972972972972973,37,,
MALE ISR UAV (Generic),1,0.2849535896550991,0.2821408029483043,0.2878491601014304,140.02,147.0,,,0,0.5675675675675675,37,,
MALE ISR UAV (Generic),2,0.46332489755906797,0.34793664705371335,0.5911099029407492,34.2,6.0,0.7894736842105263,0.21052631578947367,38,0.24324324324324326,37,,
MALE ISR UAV (Generic),3,0.28415238098509965,0.2090702925443122,0.3695974966117334,44.8,24.0,0.875,0.125,32,0.2972972972972973,37,,
MALE ISR UAV (Generic),4,0.2060026720629646,0.14452093233484561,0.27306971518902445,47.0,39.5,0.7714285714285715,0.22857142857142854,35,0.32432432432432434,37,,
MALE ISR UAV (Generic),5,0.3052895798889491,0.232786065161411,0.3807791044858394,32.8,9.5,0.6938775510204082,0.30612244897959184,49,0.1891891891891892,37,,
MRI Machine,1,0.31150538552537566,0.3087966643747234,0.3141707490111185,173.86,173.0,,,0,0.38461538461538464,39,,
MRI Machine,2,0.3223420410781337,0.22092983913988837,0.4322286030582127,58.4,20.5,0.5116279069767442,0.4883720930232558,43,0.358974358974359,39,,
MRI Machine,3,0.2938564037355099,0.22092022719362206,0.372250829485982,57.8,57.0,0.5510204081632653,0.44897959183673475,49,0.2564102564102564,39,,
MRI Machine,4,0.3233343758909252,0.23413458131489082,0.4137267195575898,39.2,9.0,0.5517241379310345,0.4482758620689655,58,0.23076923076923078,39,,
MRI Machine,5,0.4225247286806145,0.33864375585004236,0.5044093464979541,23.4,6.0,0.5636363636363636,0.4363636363636364,55,0.1794871794871795,39,,
Man-Portable Thermal Imaging Sight,1,0.33907879500980986,0.3354577268691743,0.3427089271217371,195.86,194.0,,,0,0.4423076923076923,52,,
Man-Portable Thermal Imaging Sight,2,0.4394148886055836,0.3186034463312804,0.5706810540076437,57.0,6.0,0.7222222222222222,0.2777777777777778,54,0.34615384615384615,52,,
Man-Portable Thermal Imaging Sight,3,0.29399901265186734,0.21239406886283005,0.3800714844382948,69.7,61.0,0.7169811320754716,0.28301886792452835,53,0.3269230769230769,52,,
Man-Portable Thermal Imaging Sight,4,0.3222812971845036,0.23847905169434844,0.41191280978544953,48.3,9.0,0.6935483870967742,0.30645161290322576,62,0.28846153846153844,52,,
Man-Portable Thermal Imaging Sight,5,0.3373981573172062,0.24793734762034142,0.43170974755241526,47.6,8.0,0.7166666666666667,0.2833333333333333,60,0.2692307692307692,52,,
Night Vision Goggles,1,0.29676260907343344,0.29389128951658683,0.2997212879199751,184.3469387755102,182.0,,,0,0.46153846153846156,39,,
Night Vision Goggles,2,0.26793419562934456,0.17942180371416935,0.3689046581710868,67.0,28.0,0.6190476190476191,0.38095238095238093,42,0.38461538461538464,39,,
Night Vision Goggles,3,0.3123336869963012,0.22244279127600713,0.3996890567496358,64.8,41.5,0.6571428571428571,0.34285714285714286,35,0.3333333333333333,39,,
Night Vision Goggles,4,0.3064905227634217,0.23316588386950549,0.3837388092906513,94.7,114.5,0.6363636363636364,0.36363636363636365,55,0.358974358974359,39,,
Night Vision Goggles,5,0.2826429906083135,0.20424234668175348,0.3636357493722045,60.5,8.0,0.6296296296296297,0.37037037037037035,54,0.48717948717948717,39,,
PC Laptop,1,0.2956253023847234,0.2926597482514087,0.29857113548290914,217.94545454545454,207.0,,,0,0.7,30,,
PC Laptop,2,0.24218410341103688,0.17563605384789244,0.315938728499514,126.1,149.5,0.8333333333333334,0.16666666666666663,30,0.7,30,,
PC Laptop,3,0.36629416989143104,0.2605000486267077,0.46338585083562456,55.8,10.0,0.6756756756756757,0.32432432432432434,37,0.4666666666666667,30,,
PC Laptop,4,0.22244443252085497,0.16360113298373144,0.2818360490801775,130.0,173.0,0.7058823529411765,0.2941176470588235,34,0.5666666666666667,30,,
PC Laptop,5,0.393779566935149,0.3105476714823399,0.4740005099364403,47.4,8.5,0.6595744680851063,0.34042553191489366,47,0.5333333333333333,30,,
Real-Time PCR (qPCR) Thermocycler,1,0.28045352319690586,0.2777308152457307,0.28325152232744366,173.79591836734693,173.0,,,0,0.64,25,,
Real-Time PCR (qPCR) Thermocycler,2,0.4278354139519676,0.3027302098321147,0.5484566082633794,48.3,6.0,0.53125,0.46875,32,0.44,25,,
Real-Time PCR (qPCR) Thermocycler,3,0.3586492976441642,0.27063988361409513,0.45066007279054116,38.0,9.0,0.5227272727272727,0.4772727272727273,44,0.56,25,,
Real-Time PCR (qPCR) Thermocycler,4,0.28418939198476306,0.21227441572035993,0.3618765029430415,47.6,38.5,0.48717948717948717,0.5128205128205128,39,0.4,25,,
Real-Time PCR (qPCR) Thermocycler,5,0.18767636450351002,0.12634031984007024,0.2544499469777485,40.7,35.0,0.5,0.5,42,0.44,25,,
Roller Compactor,1,0.26892263089153856,0.26598070933349927,0.271981947552852,134.62,134.5,,,0,0.4117647058823529,17,,
Roller Compactor,2,0.29067660319072497,0.22563625488470732,0.3660045470094669,54.2,60.5,0.3103448275862069,0.6896551724137931,29,0.23529411764705882,17,,
Roller Compactor,3,0.30443394842261,0.22871660012386255,0.3850323946420909,38.3,27.0,0.2619047619047619,0.7380952380952381,42,0.23529411764705882,17,,
Roller Compactor,4,0.289909942850643,0.21816901182194842,0.3586531376681661,38.4,43.0,0.20930232558139536,0.7906976744186046,43,0.17647058823529413,17,,
Roller Compactor,5,0.2909014811298296,0.2221164155129316,0.36382910584775224,29.9,9.5,0.30434782608695654,0.6956521739130435,46,0.23529411764705882,17,,
Smartphone,1,0.5203882603873078,0.5158353945055413,0.5248174516367771,341.468085106383,342.0,,,0,0.72,25,,
Smartphone,2,0.3062227392709695,0.19549958198379938,0.4223874398883957,123.3,27.0,0.6666666666666666,0.33333333333333337,27,0.6,25,,
Smartphone,3,0.31911826451800324,0.21649289293008234,0.42487534427681956,142.5,140.0,0.6944444444444444,0.3055555555555556,36,0.56,25,,
Smartphone,4,0.24266619893461544,0.1827103119060986,0.30934336175244437,117.11764705882354,32.0,0.696969696969697,0.303030303030303,33,0.56,25,,
Smartphone,5,0.41501327251827763,0.31970494573394886,0.5069031518627019,56.7,8.0,0.625,0.375,40,0.44,25,,
Smartphone Application Processor (SoC) Package,1,0.29145411238598845,0.2883637187471518,0.2945607896677781,143.14,146.0,,,0,0.5555555555555556,36,,
Smartphone Application Processor (SoC) Package,2,0.430941793649207,0.3607225756299549,0.4961675779598872,98.2,99.0,0.7272727272727273,0.2727272727272727,33,0.5,36,,
Smartphone Application Processor (SoC) Package,3,0.346404406676808,0.2701546680725432,0.4310187461076616,84.5,102.5,0.7142857142857143,0.2857142857142857,35,0.3888888888888889,36,,
Smartphone Application Processor (SoC) Package,4,0.43754810126062305,0.36908175899766243,0.5103266532939663,99.9,108.5,0.7446808510638298,0.25531914893617025,47,0.3888888888888889,36,,
Smartphone Application Processor (SoC) Package,5,0.4175853725521004,0.33547106391624676,0.5032232183982355,80.5,98.0,0.8275862068965517,0.1724137931034483,29,0.2777777777777778,36,,
Solar Panel,1,0.40204917024578773,0.39832039448570283,0.4057370832996215,193.0625,191.5,,,0,0.5,22,,
Solar Panel,2,0.3135830081733746,0.2310068251230733,0.3978925159340087,77.3,86.0,0.5185185185185185,0.4814814814814815,27,0.4090909090909091,22,,
Solar Panel,3,0.3681261017313636,0.27159760872692074,0.47083217909976394,37.5,6.5,0.5172413793103449,0.48275862068965514,29,0.3181818181818182,22,,
Solar Panel,4,0.37645850632237987,0.27378548046977214,0.4865432794474703,46.1,41.5,0.5483870967741935,0.4516129032258065,31,0.3181818181818182,22,,
Solar Panel,5,0.32348869954162524,0.22844120672995788,0.43001606295176487,50.3,56.0,0.6428571428571429,0.3571428571428571,28,0.3181818181818182,22,,
Superconducting Quantum Computer (Dilution Refrigerator-based),1,0.3513709434778853,0.34761008362901885,0.35531348861844414,200.56,198.0,,,0,0.5526315789473685,38,,
Superconducting Quantum Computer (Dilution Refrigerator-based),2,0.44762247852664055,0.3157419536431189,0.5774379946916979,62.9,6.0,0.5263157894736842,0.4736842105263158,38,0.39473684210526316,38,,
Superconducting Quantum Computer (Dilution Refrigerator-based),3,0.234780333588943,0.1692929433942451,0.3067778980081509,88.3,71.0,0.65,0.35,40,0.3684210526315789,38,,
Superconducting Quantum Computer (Dilution Refrigerator-based),4,0.2971226680691062,0.22191014012440904,0.37705024919509333,85.4,105.5,0.6190476190476191,0.38095238095238093,42,0.3684210526315789,38,,
