technology,config,n,stability_mean_jaccard,not_plausible_rate_occurrence,precision_proxy_occurrence,not_plausible_rate_dedup_canon,precision_proxy_dedup_canon,produced_components_median,silver_recall_proxy,final_convergence_mean,rounds_mean,runtime_seconds
Digital Signage Player,d2v1v1,2,0.153333,0.000000,1.000000,0.000000,1.000000,3.000000,0.500000,1.000000,2.400000,2557.717
Digital Signage Player,d3v1v1,3,0.081307,0.181818,0.818182,0.250000,0.750000,5.000000,0.500000,0.910200,2.000000,159.875
Digital Signage Player,d4v1v1,4,0.265092,0.206897,0.793103,0.250000,0.750000,5.000000,0.500000,0.943000,2.000000,6194.850
Digital Signage Player,d5v1v1,5,0.070054,0.162162,0.837838,0.375000,0.625000,3.000000,0.416667,0.922600,2.400000,6428.935
Drone Flight Controller,v1v1v1,1,0.162051,0.461538,0.538462,0.333333,0.666667,4.000000,0.500000,0.842600,1.000000,56.792
Drone Flight Controller,d2v1v1,2,0.192784,0.315789,0.684211,0.000000,1.000000,2.000000,0.625000,0.962000,2.200000,2557.717
Drone Flight Controller,d3v1v1,3,0.164740,0.240000,0.760000,0.142857,0.857143,3.000000,0.750000,0.946600,2.200000,159.875
Drone Flight Controller,d4v1v1,4,0.321712,0.346154,0.653846,0.166667,0.833333,3.000000,0.625000,0.973400,2.200000,6194.850
Drone Flight Controller,d5v1v1,5,0.192231,0.206897,0.793103,0.142857,0.857143,4.000000,0.750000,0.881200,2.200000,6428.935
EV On-Board Charger,v1v1v1,1,0.052198,0.027027,0.972973,0.125000,0.875000,5.000000,0.700000,0.897000,1.000000,56.792
EV On-Board Charger,d2v1v1,2,0.024286,0.045455,0.954545,0.111111,0.888889,4.000000,0.800000,0.905600,2.200000,2557.717
EV On-Board Charger,d3v1v1,3,0.164343,0.000000,1.000000,0.000000,1.000000,4.000000,0.600000,0.966600,2.600000,159.875
EV On-Board Charger,d4v1v1,4,0.132186,0.103448,0.896552,0.200000,0.800000,5.000000,0.800000,0.977800,2.000000,6194.850
EV On-Board Charger,d5v1v1,5,0.157976,0.035714,0.964286,0.111111,0.888889,5.000000,0.800000,0.842800,2.200000,6428.935
EV Traction Inverter,v1v1v1,1,0.088645,0.054054,0.945946,0.000000,1.000000,4.000000,0.545455,0.906000,1.000000,56.792
